species,sex,island,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW,
sanguinea,f,Palawan,71,25.9,12.3,5.8,6.1,6.8,4.4,22.6,14.2,40.4,46.5,24.8,37.8,18.9,2.2,2,
sanguinea,f,Palawan,64.2,23.6,11.6,5.1,5.7,6.3,4.5,20.6,12.4,36.7,40.9,22.6,35.3,18.1,1.7,1.6,
sanguinea,f,Palawan,72.1,26.7,12.5,5.4,6.4,7.2,5,22.6,13.8,38.5,44.3,23.7,39.8,18.1,2.4,1.9,
sanguinea,f,Palawan,64,24.1,10.5,5.7,5.5,6.7,4.8,21.1,13.3,37.2,41.4,22.3,36,18.2,2.1,1.8,
sanguinea,f,Palawan,61.3,23.2,11,5.1,5.2,6.5,4.3,19.9,12.5,34,38.3,21.4,33.7,17,2,1.8,
tipanan,m,Luzon,50.2,21,9.5,5.4,5.4,6.7,4.3,16.4,11,26.8,29.4,16.2,24.7,17,2.1,3.1,
tipanan,m,Luzon,48.3,19.5,8.1,5.4,5.4,6.2,4.2,15.7,11,26.3,28,14.8,23.1,14.5,1.4,2.5,
tipanan,m,Luzon,51.4,20.1,8.5,6.2,5.9,7.2,4.3,16.5,12.3,27.2,29.7,16.4,25,15.7,1.9,2.6,
tipanan,m,Luzon,51.8,19.1,8.9,5.5,5.6,6.6,3.7,16.2,12.1,26.5,29.4,16.6,25.8,18.4,1.4,3,
tipanan,m,Luzon,50.8,21.2,9.4,5.9,5.5,6.9,4.5,16.3,11.5,26.1,29.4,15.8,24.3,15.4,1.9,3.1,
